Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,63.716,0.000,0.597,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_1488,61.232,0.000,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_1488/dataflow_parent_loop_proc36_U0,61.232,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.017,0.026
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,3.877,6.086
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,5.734,9.000
Conv_sysarr_1,m_axi_gmem3,9.392,14.740,7.151,11.224

