Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,772.244,0.000,0.209,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_648,764.613,0.000,0.000,0.000
Conv_sysarr_1,grp_dataflow_parent_loop_proc44_fu_648/dataflow_parent_loop_proc42_U0,764.613,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
Conv_sysarr_1,m_axi_gmem0,0.000,0.000,0.023,0.003
Conv_sysarr_1,m_axi_gmem1,0.000,0.000,10.239,1.326
Conv_sysarr_1,m_axi_gmem2,0.000,0.000,10.722,1.388
Conv_sysarr_1,m_axi_gmem3,16.880,2.186,11.092,1.436

