Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,outstanding,0,0.044120,0.044120,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,row,0,0.000000,0.028544,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,row,0,0.028544,0.032405,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,row,0,0.032405,0.040193,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,row,0,0.040193,0.044120,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0,row,0,0.044120,0.044120,65535
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0/grp_LOOP_K_OUTER_proc_wrapper_fu_9434,outstanding,0,0.000000,0.028547,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0/grp_LOOP_K_OUTER_proc_wrapper_fu_9434,outstanding,0,0.028547,0.032405,1
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0/grp_LOOP_K_OUTER_proc_wrapper_fu_9434,outstanding,0,0.032405,0.040196,0
xilinx_u200_xdma_201830_2-0,conv.hw_emu,Conv_sysarr,Conv_sysarr_1,grp_dataflow_parent_loop_proc38_fu_9168/dataflow_parent_loop_proc36_U0/dataflow_parent_loop_proc35_U0/dataflow_parent_loop_proc32_U0/dataflow_parent_loop_proc31_U0/dataflow_parent_loop_proc_U0/dataflow_in_loop_LOOP_S_MOST_OUTER_U0/LOOP_K_OUTER_proc_U0/grp_LOOP_K_OUTER_proc_wrapper_fu_9434,outstanding,0,0.040196,0.044120,1
